Event,Start Time,End Time,Address,Address Details,Description,Web Page,Event Type,Audience,Recurring Event,Latitude,Longitude,Location
Baton Show Lounge Anniversary,03/14/2018 06:00:00 PM,03/14/2018 09:00:00 PM,438 N. Clark Street,Baton Lounge,Anniversary Reception and Show,,,Adult | LGBTQ,No,41.890347885,-87.63123846,"(41.890347885295064, -87.63123846006191)"
"LGBT Chamber of Commerce ""Celebration of Black LGBT Business Excellence""",02/22/2018 06:00:00 PM,02/22/2018 09:00:00 PM,305 E Garfield Blvd,Currency Exchange Cafe,Panel discussion of Black LGBT businesses,,Panel Discussion,LGBTQ,No,41.794316562,-87.618979239,"(41.7943165619035, -87.61897923924498)"
Lawndale Cinema - Black Panther Screening and Community Mixer/Health Fair,02/15/2018 04:00:00 PM,02/15/2018 08:00:00 PM,3330 W. Roosevelt Rd.,,Health Fair during reception period prior to and during the screening.,,Health Fair,Adult | Children | LGBTQ | Seniors,No,41.866473847,-87.709386513,"(41.86647384666724, -87.70938651305953)"
Chicago LGBTQA Black History Recognitions,02/23/2018 06:00:00 PM,02/23/2018 08:00:00 PM,3831 S. Michigan Avenue,South Side Community Art Center,"Highlighting and uplift individuals, allies and entities within the Black LGBTQ community of Chicago, who utilize their platform to advance the rights, image, knowledge, perception and spirit of the LGBTQ community and therefore the public at large.",,Recognitions,LGBTQ,No,41.824585753,-87.622944739,"(41.82458575325429, -87.62294473862525)"
BTAN Chicago Meeting,03/13/2018 01:30:00 PM,03/13/2018 04:00:00 PM,4314 S. Cottage Grove,"Martin Luther King, Jr Center",Discussing the new funding guidelines/requirements for service providers seeking monies from the Chicago Department of Public Health (CDPH,,Training,Adult | Children | LGBTQ | Seniors,Yes,41.81632597,-87.606846738,"(41.816325970337445, -87.6068467379213)"
Larvicide Technician Training,05/22/2018 10:00:00 AM,05/22/2018 12:00:00 PM,2133 W. Lexington st,Large conference room,"I will train sister agencies on the larviciding requirements and provide larvicide for agencies to treat their basins. Agencies include: Chicago Park District, CTA, CPS and Golf.",,Training,Adult,No,41.872213457,-87.680198622,"(41.87221345741769, -87.6801986217574)"
Quiet Storm: The Art & Times of Black LGBTQ Life,02/01/2018 06:00:00 PM,02/01/2018 09:00:00 PM,3656 N. Halsted,,Overview of Black LGBTQ Art and Lifestyle,,LGBTQ,Adult | LGBTQ,No,41.948966197,-87.64968333,"(41.94896619671428, -87.64968333043412)"
Center on Halsted Gala,04/21/2018 05:30:00 PM,04/21/2018 09:00:00 PM,2520 S Hoyne,The Geraghty,"Center on Halsted hosts its annual Human First Gala to recognize the contributions of individuals, businesses and other organizations to the lesbian, gay, bisexual, transgender and queer community in Chicago.",http://www.centeronhalsted.org/hf/,,LGBTQ,No,41.846078035,-87.678250096,"(41.84607803530318, -87.67825009589394)"
Chicago Board of Health Monthly Meeting,09/19/2018 09:00:00 AM,09/19/2018 10:30:00 AM,333 S. State Street,"2nd Floor, Board Room",Board of Health Members will convene for their monthly meeting.,,Meeting,,Yes,41.877396937,-87.627514932,"(41.87739693703613, -87.62751493171092)"
Presence Health Open House Celebration,03/21/2018 05:00:00 PM,03/21/2018 07:00:00 PM,9015 S. Harper Av.,"St. Ailbe's Church, Imani Room  RSVP: Susan Campbell: 312.308.3251 or Susan.Campbell@presencehealth.org 
Free Parking Lot","Please join us to see the shared vision we created together for a healthier community on Chicago South Side. Thank you for sharing your ideas on how we can improve health and wellness. Unveiling of the Community Vision and the designs for the renovated clinic begins at 5:45 pm. RSVP: Suggested to Susan Campbell
Appetizers and drinks will be served.",,Open House/Meet and Greet,Adult | LGBTQ | Seniors,No,41.730937738,-87.586644752,"(41.73093773789623, -87.58664475156006)"
Chicago Board of Health Monthly Meeting,06/20/2018 09:00:00 AM,06/20/2018 10:30:00 AM,333 S. State Street,"2nd Floor, Board Room",Board of Health members will convene for their monthly meeting.,,Meeting,,Yes,41.877396937,-87.627514932,"(41.87739693703613, -87.62751493171092)"
CAHISC's Community Development and Engagement Committee Meeting,03/08/2018 12:00:00 PM,03/08/2018 02:00:00 PM,333 S. State St.,DePaul Building #2112,Planning activities for CAHISC's Community Development and Engagement Committee. Activities tied to HIV Integrated Services in the Chicago Eligible Metropolitan Area.,,HIV Planning Efforts,Adult | LGBTQ | Seniors,No,41.877396937,-87.627514932,"(41.87739693703613, -87.62751493171092)"
Chicago Board of Health Monthly Meeting,12/19/2018 09:00:00 AM,12/19/2018 10:30:00 AM,333 S. State Street,"2nd Floor, Board Room",Board of Health Members will convene for their monthly meeting.,,Meeting,,Yes,41.877396937,-87.627514932,"(41.87739693703613, -87.62751493171092)"
Chicago Board of Health Monthly Meeting,05/16/2018 09:00:00 AM,05/16/2018 10:30:00 AM,333 S. State Street,"2nd Floor, Board Room",Board of Health members will convene for their monthly meeting.,,Meeting,,Yes,41.877396937,-87.627514932,"(41.87739693703613, -87.62751493171092)"
